PLAYER,YRS,G,MP,PTS,TRB,AST,FG_PERCENTAGE,TP_PERCENTAGE,FT_PERCENTAGE,MP_PER_GAME,PTS_PER_GAME,TRB_PER_GAME,AST_PER_GAME,WS,WS_FE,BPM,VORP,MVP,ROY,DPOY,SMOY,MIP,ASG,TITLES,FMVP
Tyler Hansbrough,7.0000,428.0000,7233.0000,2881.0000,1808.0000,181.0000,0.4390,0.1360,0.7380,16.9000,6.7000,4.2000,0.4000,20.2000,134.0000,-2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Earl Clark,6.0000,261.0000,3630.0000,1138.0000,778.0000,134.0000,0.4030,0.3280,0.6640,13.9000,4.4000,3.0000,0.5000,2.9000,38.0000,-2.8000,-0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Austin Daye,6.0000,293.0000,4132.0000,1522.0000,764.0000,212.0000,0.4020,0.3510,0.7780,14.1000,5.2000,2.6000,0.7000,4.5000,53.0000,-2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
James Johnson,15.0000,774.0000,15524.0000,5822.0000,2710.0000,1606.0000,0.4740,0.3000,0.6780,20.1000,7.5000,3.5000,2.1000,27.5000,85.0000,0.4000,9.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jrue Holiday,15.0000,975.0000,32264.0000,15736.0000,4075.0000,6201.0000,0.4630,0.3710,0.7840,33.1000,16.1000,4.2000,6.4000,69.4000,103.0000,1.7000,29.8000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000
Ty Lawson,8.0000,551.0000,16088.0000,6977.0000,1506.0000,3316.0000,0.4600,0.3590,0.7700,29.2000,12.7000,2.7000,6.0000,42.1000,126.0000,1.4000,13.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jeff Teague,12.0000,826.0000,22164.0000,10061.0000,1989.0000,4585.0000,0.4440,0.3600,0.8440,26.8000,12.2000,2.4000,5.6000,52.4000,113.0000,0.6000,14.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Eric Maynor,5.0000,267.0000,3896.0000,1141.0000,348.0000,760.0000,0.3920,0.3500,0.7210,14.6000,4.3000,1.3000,2.8000,3.3000,41.0000,-2.9000,-0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Darren Collison,11.0000,711.0000,20833.0000,8861.0000,1889.0000,3545.0000,0.4710,0.3940,0.8530,29.3000,12.5000,2.7000,5.0000,49.9000,115.0000,0.5000,13.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Victor Claver,3.0000,80.0000,1072.0000,258.0000,178.0000,56.0000,0.3980,0.2930,0.5850,13.4000,3.2000,2.2000,0.7000,0.2000,11.0000,-3.6000,-0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Omri Casspi,10.0000,588.0000,11959.0000,4642.0000,2355.0000,662.0000,0.4540,0.3680,0.6780,20.3000,7.9000,4.0000,1.1000,19.6000,78.0000,-0.8000,3.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Byron Mullens,5.0000,189.0000,3446.0000,1398.0000,790.0000,153.0000,0.4080,0.3190,0.7060,18.2000,7.4000,4.2000,0.8000,0.6000,8.0000,-4.0000,-1.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Rodrigue Beaubois,4.0000,182.0000,2896.0000,1286.0000,338.0000,374.0000,0.4390,0.3250,0.8100,15.9000,7.1000,1.9000,2.1000,4.8000,79.0000,-0.1000,1.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Taj Gibson,15.0000,965.0000,22660.0000,8290.0000,5607.0000,925.0000,0.5170,0.2630,0.7130,23.5000,8.6000,5.8000,1.0000,59.9000,127.0000,-0.8000,6.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DeMarre Carroll,11.0000,578.0000,13675.0000,5150.0000,2454.0000,726.0000,0.4300,0.3580,0.7410,23.7000,8.9000,4.2000,1.3000,29.5000,104.0000,0.0000,6.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Wayne Ellington,13.0000,770.0000,16100.0000,6190.0000,1643.0000,852.0000,0.4100,0.3820,0.8430,20.9000,8.0000,2.1000,1.1000,21.1000,63.0000,-1.5000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Toney Douglas,8.0000,394.0000,7511.0000,3009.0000,875.0000,889.0000,0.4040,0.3540,0.8240,19.1000,7.6000,2.2000,2.3000,12.1000,77.0000,-0.8000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Christian Eyenga,2.0000,51.0000,1049.0000,320.0000,137.0000,40.0000,0.4110,0.2770,0.6110,20.6000,6.3000,2.7000,0.8000,-0.4000,-20.0000,-4.2000,-0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jeff Ayres,6.0000,237.0000,2322.0000,690.0000,632.0000,99.0000,0.5530,0.4000,0.7760,9.8000,2.9000,2.7000,0.4000,6.3000,131.0000,-2.3000,-0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jermaine Taylor,2.0000,65.0000,786.0000,351.0000,108.0000,48.0000,0.4410,0.2840,0.7300,12.1000,5.4000,1.7000,0.7000,0.2000,14.0000,-3.7000,-0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dante Cunningham,10.0000,715.0000,14875.0000,4133.0000,2676.0000,506.0000,0.4690,0.3450,0.6490,20.8000,5.8000,3.7000,0.7000,24.9000,80.0000,-1.7000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sergio Llull,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DaJuan Summers,4.0000,83.0000,820.0000,278.0000,82.0000,29.0000,0.3840,0.3670,0.6420,9.9000,3.3000,1.0000,0.3000,-0.1000,-8.0000,-5.8000,-0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
